actor_id,first_name,last_name,description,last_update
1,PENELOPE,GUINESS,NULL,"2006-02-15 04:34:33"
2,NICK,WAHLBERG,NULL,"2006-02-15 04:34:33"
3,ED,CHASE,NULL,"2006-02-15 04:34:33"
4,JENNIFER,DAVIS,NULL,"2006-02-15 04:34:33"
5,JOHNNY,LOLLOBRIGIDA,NULL,"2006-02-15 04:34:33"
6,BETTE,NICHOLSON,NULL,"2006-02-15 04:34:33"
7,GRACE,MOSTEL,NULL,"2006-02-15 04:34:33"
8,MATTHEW,JOHANSSON,NULL,"2006-02-15 04:34:33"
9,JOE,SWANK,NULL,"2006-02-15 04:34:33"
10,CHRISTIAN,GABLE,NULL,"2006-02-15 04:34:33"
11,ZERO,CAGE,NULL,"2006-02-15 04:34:33"
12,KARL,BERRY,NULL,"2006-02-15 04:34:33"
13,UMA,WOOD,NULL,"2006-02-15 04:34:33"
14,VIVIEN,BERGEN,NULL,"2006-02-15 04:34:33"
15,CUBA,OLIVIER,NULL,"2006-02-15 04:34:33"
16,FRED,COSTNER,NULL,"2006-02-15 04:34:33"
17,HELEN,VOIGHT,NULL,"2006-02-15 04:34:33"
18,DAN,TORN,NULL,"2006-02-15 04:34:33"
19,BOB,FAWCETT,NULL,"2006-02-15 04:34:33"
20,LUCILLE,TRACY,NULL,"2006-02-15 04:34:33"
21,KIRSTEN,PALTROW,NULL,"2006-02-15 04:34:33"
22,ELVIS,MARX,NULL,"2006-02-15 04:34:33"
23,SANDRA,KILMER,NULL,"2006-02-15 04:34:33"
24,CAMERON,STREEP,NULL,"2006-02-15 04:34:33"
25,KEVIN,BLOOM,NULL,"2006-02-15 04:34:33"
26,RIP,CRAWFORD,NULL,"2006-02-15 04:34:33"
27,JULIA,MCQUEEN,NULL,"2006-02-15 04:34:33"
28,WOODY,HOFFMAN,NULL,"2006-02-15 04:34:33"
29,ALEC,WAYNE,NULL,"2006-02-15 04:34:33"
30,SANDRA,PECK,NULL,"2006-02-15 04:34:33"
31,SISSY,SOBIESKI,NULL,"2006-02-15 04:34:33"
32,TIM,HACKMAN,NULL,"2006-02-15 04:34:33"
33,MILLA,PECK,NULL,"2006-02-15 04:34:33"
34,AUDREY,OLIVIER,NULL,"2006-02-15 04:34:33"
35,JUDY,DEAN,NULL,"2006-02-15 04:34:33"
36,BURT,DUKAKIS,NULL,"2006-02-15 04:34:33"
37,VAL,BOLGER,NULL,"2006-02-15 04:34:33"
38,TOM,MCKELLEN,NULL,"2006-02-15 04:34:33"
39,GOLDIE,BRODY,NULL,"2006-02-15 04:34:33"
40,JOHNNY,CAGE,NULL,"2006-02-15 04:34:33"
41,JODIE,DEGENERES,NULL,"2006-02-15 04:34:33"
42,TOM,MIRANDA,NULL,"2006-02-15 04:34:33"
43,KIRK,JOVOVICH,NULL,"2006-02-15 04:34:33"
44,NICK,STALLONE,NULL,"2006-02-15 04:34:33"
45,REESE,KILMER,NULL,"2006-02-15 04:34:33"
46,PARKER,GOLDBERG,NULL,"2006-02-15 04:34:33"
47,JULIA,BARRYMORE,NULL,"2006-02-15 04:34:33"
48,FRANCES,DAY-LEWIS,NULL,"2006-02-15 04:34:33"
49,ANNE,CRONYN,NULL,"2006-02-15 04:34:33"
50,NATALIE,HOPKINS,NULL,"2006-02-15 04:34:33"
51,GARY,PHOENIX,NULL,"2006-02-15 04:34:33"
52,CARMEN,HUNT,NULL,"2006-02-15 04:34:33"
53,MENA,TEMPLE,NULL,"2006-02-15 04:34:33"
54,PENELOPE,PINKETT,NULL,"2006-02-15 04:34:33"
55,FAY,KILMER,NULL,"2006-02-15 04:34:33"
56,DAN,HARRIS,NULL,"2006-02-15 04:34:33"
57,JUDE,CRUISE,NULL,"2006-02-15 04:34:33"
58,CHRISTIAN,AKROYD,NULL,"2006-02-15 04:34:33"
59,DUSTIN,TAUTOU,NULL,"2006-02-15 04:34:33"
60,HENRY,BERRY,NULL,"2006-02-15 04:34:33"
